hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc2500,poc1000,poc500,poc1000new,poc500new,income.med2500diff,income.med1000diff,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,link,link.se,pred,lcl,ucl,var,value
1.45,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.455145557,0.028357131,31.66289709,29.91713202,33.5105334,hours,2.25480513
1.5,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.453233426,0.02861671,31.60241133,29.8444832,33.46388661,hours,2.307326098
1.55,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.450298991,0.028913583,31.50981206,29.73937203,33.38564968,hours,2.359847066
1.6,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.446342254,0.029250521,31.38538234,29.60197885,33.27622892,hours,2.412368034
1.65,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.441363213,0.029630195,31.22950164,29.43259767,33.13610928,hours,2.464889003
1.7,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43536187,0.030055143,31.04264393,29.23163704,32.96584932,hours,2.517409971
1.75,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.428338223,0.030527747,30.82537526,28.99962006,32.76607617,hours,2.569930939
1.8,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.420292273,0.031050201,30.57835093,28.73718333,32.53748063,hours,2.622451907
1.85,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41122402,0.031624497,30.30231219,28.44507476,32.28081248,hours,2.674972875
1.9,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.401133463,0.032252406,29.9980825,28.12415039,31.99687605,hours,2.727493844
1.95,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.390020604,0.032935472,29.6665635,27.77537007,31.68652614,hours,2.780014812
2,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.377885441,0.033675008,29.30873049,27.39979208,31.35066429,hours,2.83253578
2.05,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.364727975,0.034472095,28.92562773,26.99856687,30.99023528,hours,2.885056748
2.095959,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.351732187,0.035256263,28.5521485,26.60820589,30.63811168,hours,2.933332972
1.4,0.45,-0.670618043,-0.8047999,-1.140776,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.283222408,0.07882533,26.66154882,22.77291177,31.21419838,temp,3.49999705
1.4,0.45,-0.670618043,-0.8047999,-1.1,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.297661929,0.074307846,27.04932169,23.3138181,31.3833539,temp,3.865594937
1.4,0.45,-0.670618043,-0.8047999,-1.05,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.314508357,0.069035309,27.50886612,23.96124511,31.5817359,temp,4.31389527
1.4,0.45,-0.670618043,-0.8047999,-1,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.330407973,0.064062834,27.94974211,24.58858487,31.77035557,temp,4.762195603
1.4,0.45,-0.670618043,-0.8047999,-0.95,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.345360777,0.059397603,28.37080935,25.19298468,31.9494825,temp,5.210495935
1.4,0.45,-0.670618043,-0.8047999,-0.9,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.359366768,0.05504746,28.77096643,25.77156748,32.11944752,temp,5.658796268
1.4,0.45,-0.670618043,-0.8047999,-0.85,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.372425948,0.051020724,29.14915569,26.32145801,32.28063115,temp,6.1070966
1.4,0.45,-0.670618043,-0.8047999,-0.8,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.384538316,0.047325853,29.50436787,26.83982011,32.43344105,temp,6.555396933
1.4,0.45,-0.670618043,-0.8047999,-0.75,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.395703871,0.043970875,29.83564654,27.32390938,32.57827392,temp,7.003697265
1.4,0.45,-0.670618043,-0.8047999,-0.7,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.405922615,0.040962538,30.14209243,27.77114519,32.71545808,temp,7.451997598
1.4,0.45,-0.670618043,-0.8047999,-0.65,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.415194546,0.03830514,30.4228675,28.17920418,32.84517408,temp,7.90029793
1.4,0.45,-0.670618043,-0.8047999,-0.6,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.423519665,0.0359991,30.6771987,28.54613259,32.96735615,temp,8.348598263
1.4,0.45,-0.670618043,-0.8047999,-0.55,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.430897972,0.03403939,30.90438157,28.87046766,33.08158398,temp,8.796898596
1.4,0.45,-0.670618043,-0.8047999,-0.5,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.437329467,0.032414145,31.10378349,29.15134867,33.18698419,temp,9.245198928
1.4,0.45,-0.670618043,-0.8047999,-0.45,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44281415,0.031103786,31.27484657,29.38859222,33.28216679,temp,9.693499261
1.4,0.45,-0.670618043,-0.8047999,-0.4,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.447352021,0.030081029,31.41709028,29.58270687,33.36522132,temp,10.14179959
1.4,0.45,-0.670618043,-0.8047999,-0.35,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45094308,0.029311931,31.53011372,29.73483395,33.43378586,temp,10.59009993
